,isbn,lang,title,author,author_gender,author_nationality,author_birth_year,year_published,avg_rating,num_ratings,adjective_score,adverb_score,flesch_reading_ease_score,lexical_diversity,word_count,count_exclamation_marks,count_question_marks,profanity_score,sentiment_neg_score,sentiment_pos_score,sentiment_compound_score,reading_difficulty,reading_time
0,1932234195,en,Parasite Eve,Hideaki Sena,male,,,1994,3.59,1432,698.56,677.09,0.069,0.1028,95911,14.81,53.59,4.971,0.058,0.089,1.0,2.572,6681
1,0099339307,en,The Dark Lantern,Henry Williamson,male,,,1951,4.27,62,723.2,509.54,0.054,0.0898,166288,57.67,60.98,5.38,0.063,0.097,1.0,2.543,10969
2,0575041226,en,The Journey of Joenes,Robert Sheckley,male,,,1962,3.57,306,748.46,560.6,0.096,0.1388,54245,16.41,52.36,4.2,0.077,0.141,1.0,2.573,3698
3,0399165134,en,Trust No One,Jayne Ann Krentz,female,United States,1948.0,2015,3.87,6910,687.57,569.97,0.058,0.0884,88355,0.11,95.18,8.863,0.077,0.103,0.999,2.444,5839
4,0385499280,en,Provinces of Night: A Novel,William Gay,male,,1941.0,2000,4.21,2199,609.06,548.46,0.058,0.0913,112698,0.09,57.14,18.037,0.076,0.073,-0.976,2.246,6973
5,0385471572,en,Songs of Enchantment,Ben Okri,male,Nigeria,1959.0,1993,3.79,653,740.01,404.5,0.064,0.1025,87391,12.59,34.21,1.908,0.106,0.098,-0.985,2.441,5792
6,0679418210,en,My Wicked Wicked Ways,Sandra Cisneros,female,United States,1954.0,1987,4.18,1515,721.73,479.5,0.207,0.3129,10073,8.93,34.75,15.627,0.047,0.1,0.987,2.576,652
7,0821781022,en,Hell's Belles,Jackie Kessler,,United States,1970.0,2007,3.42,1151,676.28,544.97,0.068,0.112,90776,26.88,102.56,73.683,0.088,0.109,0.999,2.453,5864
8,0399138714,en,Decider,Dick Francis,male,British,1920.0,1993,4.0,4406,724.1,605.17,0.076,0.1223,88703,18.15,108.79,5.409,0.077,0.085,0.989,2.512,5966
9,0099429187,en,Illumination Night,Alice Hoffman,female,,,1987,3.72,7461,604.06,603.78,0.064,0.0916,71582,6.43,36.18,3.419,0.067,0.059,-0.979,2.361,4553
